user_language,q11_1,q11_2,q11_3,q11_4,q12,q13_1_1,q13_2_1,q13_3_1,q13_4_1,q13_5_1,q13_6_1,q13_7_1,q13_8_1,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q66,q10_1,q10_2,q10_3,q18,q19,q20,q67,q68_1,q68_2,q70,q93,q69,q71,q73,q22,q23,q74_1,q74_2,q76_1,q76_2,q80_1,q80_2,q80_3,q80_4,q81_1,q81_2,q81_3,q81_4,list_experiment,q26,q27_1,q27_2,q27_3,q97_1,q97_2,q92,q94,q108,q105,border_outcome,traits1a,traits1b,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,fl_15_do,sample,q3,q8,q8_15_text,q5,q9,q9_24_text,q126,q129,traits5a,traits5b,traits6a,traits6b,border_gamble,border_treat,border_loss,border_ethnic,border_resource
EN,Never,A few times a month,A few times a month,Every day,Less than once a month,3,0,2,5,1,2,0,5,Sometimes,Often,Often,Often,Sometimes,Active member,Not a member,Not a member,Not a member,NA,Not at all,Not at all,Somewhat likely,9,10,7,I try to demonstrate my opinions about some political issues on Instagram.,1,2,3,Somewhat agree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,A little,I agree strongly with A,I agree strongly with A,I agree with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,A lot,A lot,A lot,A lot,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,Yes,Government A,Government A,Plan A,Plan B,Option 1,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|Yes|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"Yes|No|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",Yes|No|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,No|Yes|No|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
EN,A few times a month,A few times a week,A few times a week,Every day,Never,5,0,2,0,0,1,0,0,Sometimes,Sometimes,Sometimes,Often,Sometimes,Official leader,Active member,Inactive member,Active member,NA,NA,NA,NA,4,10,9,At this time in Ethiopia the participation of youth in politics and social affairs not given the chance for youth to participate in.But the youth have the tendency to make a positive influence in politics and social affairs.There so many youth in our country who learned well and powerful so if they get the access in political sphere they will bring peace In our country.,1,3,2,Strongly disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,NA,NA,A lot,A lot,I agree strongly with A,I agree strongly with A,I agree strongly with A,NA,NA,Strongly like,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,2,Business sector (private for-profit companies),"Yes, it has crossed my mind","No, I have not thought about it","No, I have not thought about it",Yes,Yes,Government A,Government A,Plan A,Plan B,Option 1,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography",Yes|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,No|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,Yes|No|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"Yes|Yes|No|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,Never,A few times a month,A few times a week,Every day,Never,2,0,4,0,0,0,3,6,Sometimes,Never,Never,Sometimes,Never,Official leader,Not a member,Not a member,Active member,NA,Not at all,Not at all,NA,1,10,10,I currently lead the worlds largest entrepreneurs competition,1,2,3,Strongly disagree,I agree strongly with B,I agree with B,I agree with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with A,I agree with B,Never,Never,Somewhat dislike,Somewhat like,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan B,Plan B,Option 2,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|Yes|Yes|Yes|Yes, United Nations|No|None|Appointed by a panel of leaders from all major ethnic groups","Yes|No|Yes|Yes|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",No|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"Yes|Yes|Yes|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,A few times a week,Less than once a month,Every day,Never,0,0,0,0,0,0,0,0,Always,Never,Sometimes,Sometimes,Sometimes,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,0,3,4,I have not participated in any.,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree strongly with B,Frequently,Frequently,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,A lot,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government B,Plan A,Plan B,Option 1,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|No|No|No|Yes, United Nations|No|None|Appointed by a panel of leaders from all major political parties",Yes|No|No|No|No|Yes|None|Appointed by Dialogue Commission,No|Yes|No|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,No|Yes|No|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,Never,Never,Never,Every day,Never,3,0,4,2,3,2,1,10,Sometimes,Never,Never,Never,Never,Active member,Active member,Official leader,Official leader,NA,NA,NA,NA,10,10,10,to be honest I am not such good at such dilemmas .as a student of AAU I don't rush my self in any political activities as well we all know the situation in Ethiopia currently have not a good atmosphere specially to participate in political issue where ever you are.,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Agree,Agree,Never,Never,A lot,A lot,I agree strongly with A,I agree strongly with B,I agree strongly with B,Always,NA,Strongly like,Somewhat like,Very frequently,Very frequently,Very frequently,Sometimes,A lot,A lot,A lot,Some,2,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government A,Plan B,Plan B,Option 1,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography",Yes|No|No|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,Yes|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"Yes|Yes|Yes|No|Yes, African Union|No|None|Appointed by a panel of leaders from all major ethnic groups",No|Yes|Yes|Yes|No|Yes|None|Appointed by a panel of leaders from all major political parties,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain,0,FALSE,FALSE
EN,Less than once a month,A few times a week,A few times a month,Every day,Never,1,0,1,0,0,1,0,2,Often,Never,Never,Sometimes,Sometimes,Active member,Not a member,Not a member,Active member,NA,Not at all,Not at all,NA,3,10,10,Since the civic engagement event I was working at EWLA(Ethiopian Women Lawyers Association) as a summer intern for few weeks. I also have been posting online about gender-based violence to raise awareness.,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,1,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",No,No,Government B,Government B,Plan B,Plan B,Option 1,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|Yes|Yes|No|No|None|Appointed by Dialogue Commission,"Yes|Yes|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|No|Yes|No|No|No|None|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|No|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
EN,A few times a week,A few times a week,Less than once a month,Every day,Never,5,6,4,0,0,0,0,3,Never,Sometimes,Always,Sometimes,Sometimes,Inactive member,Not a member,Inactive member,Not a member,NA,Somewhat likely,NA,Very likely,6,7,5,I became a Political Party member.,1,3,2,Strongly disagree,I agree with B,I agree with B,I agree with B,Agree,Agree,Never,Never,A little,A little,I agree with B,I agree with B,I agree with A,Frequently,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Just a little,NA,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government A,Government A,Plan B,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|Yes|No|Yes|Yes, United Nations|No|None|Appointed by a panel of leaders from all major political parties",Yes|No|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,No|Yes|No|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,"No|No|No|Yes|Yes, United Nations|Yes|None|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,A few times a week,A few times a week,A few times a week,Never,0,0,0,0,3,5,0,0,Sometimes,Never,Never,Often,Sometimes,Not a member,Not a member,Not a member,Inactive member,Not at all,Not at all,Not at all,NA,4,7,5,NA,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree with B,Frequently,Frequently,Would not care,Somewhat dislike,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government B,Government A,Plan B,Plan B,Option 2,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|Yes|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,"Yes|No|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",No|Yes|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,"Yes|No|No|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-resource,0,FALSE,TRUE
EN,A few times a week,A few times a month,A few times a week,Every day,A few times a month,0,0,0,0,1,2,1,2,Often,Never,Sometimes,Never,Never,Not a member,Inactive member,Not a member,Active member,Not likely,NA,Somewhat likely,NA,4,8,8,since june 20 2022 i have took part in the run about road safty as a volnnteer which had done two weeks later.,1,3,2,Strongly disagree,I agree with B,I agree with B,I agree with B,Agree,Agree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree with B,Frequently,NA,Somewhat like,Somewhat like,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,1,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,No,Government B,Government B,Plan A,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,No|Yes|Yes|No|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"No|Yes|No|No|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission","Yes|No|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-resource,1,FALSE,TRUE
EN,Less than once a month,A few times a week,Never,Every day,Never,0,0,0,0,0,0,0,0,Often,Sometimes,Never,Always,Sometimes,Inactive member,Not a member,Not a member,Not a member,NA,Not at all,Not at all,Somewhat likely,5,9,7,Due to several circumatances I have not participated in civic or political activities  within the time indicated. Although I will if necessary in the future.,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree strongly with B,NA,NA,Would not care,Would not care,Sometimes,Sometimes,Sometimes,Sometimes,Some,Some,Some,Some,1,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government B,Plan A,Plan B,Option 2,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",No|Yes|No|No|No|No|None|Appointed by a panel of leaders from all major political parties,"No|No|No|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",Yes|No|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,Never,A few times a month,Never,Every day,Never,0,0,0,0,0,0,0,2,Sometimes,Never,Never,Often,Often,Active member,Not a member,Not a member,Not a member,NA,Somewhat likely,Not likely,Somewhat likely,2,10,7,I have never participated in any political activities.,1,2,3,Somewhat disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree with B,NA,NA,Would not care,Would not care,Sometimes,Sometimes,Sometimes,Sometimes,Some,Some,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government B,Plan B,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|Yes|Yes|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|Yes|No|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,No|No|No|Yes|No|No|None|Appointed by a panel of leaders from all major ethnic groups,No|No|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain,0,FALSE,FALSE
EN,A few times a week,Every day,Less than once a month,Every day,Never,0,0,0,2,0,0,0,0,Never,Sometimes,Often,Never,Sometimes,Active member,Not a member,Not a member,Not a member,NA,Not at all,Not at all,Not at all,0,9,9,"In my current school I signed a petition for some reasons like there were misunderstanding between the school head ,our recent teacher and we students. After some arguments the petition worked fairly and as planned.",1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with A,Frequently,NA,Strongly like,Somewhat like,Very frequently,Very frequently,Rarely,Sometimes,Some,A lot,A lot,Just a little,3,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government A,Plan B,Plan A,Option 2,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|Yes|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties","No|No|No|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","No|No|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",Yes|No|No|No|No|No|None|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,Less than once a month,A few times a week,Never,A few times a week,Never,0,0,0,0,0,0,0,0,Often,Never,Sometimes,Sometimes,Sometimes,Not a member,Not a member,Not a member,Inactive member,Not at all,Not at all,Not at all,NA,5,9,7,"I haven't participated in any kind of political activity since June 20, 2022.",1,2,3,Somewhat disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with A,I agree with B,NA,NA,Somewhat like,Somewhat like,Sometimes,Sometimes,Sometimes,Sometimes,Some,Some,Some,Some,2,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government A,Government B,Plan B,Plan B,Option 2,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties","Yes|Yes|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",No|No|No|No|No|Yes|None|Appointed by Dialogue Commission,"Yes|No|No|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-resource,0,FALSE,TRUE
AMH,Less than once a month,A few times a month,Never,Every day,Never,2,0,0,0,0,0,0,1,Sometimes,Never,Sometimes,Often,Sometimes,Inactive member,Not a member,Not a member,Inactive member,NA,Not at all,Not likely,NA,0,10,10,I was participating in civil association which helps orphan child's and some elders in my town voluntarily.,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with B,Frequently,Frequently,Somewhat like,Would not care,Very frequently,Very frequently,Never,Never,Just a little,Just a little,Some,Not at all,2,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government A,Plan A,Plan B,Option 1,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,Yes|No|No|Yes|No|Yes|None|Appointed by a panel of leaders from all major political parties,Yes|No|No|No|No|No|None|Appointed by a panel of leaders from all major ethnic groups,Yes|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,Every day,A few times a month,A few times a week,A few times a month,A few times a month,2,0,1,0,1,5,0,3,Always,Never,Never,Never,Sometimes,Active member,Active member,Not a member,Active member,NA,NA,Very likely,NA,10,10,10,I participated in a dication groups,1,2,3,Strongly disagree,I agree strongly with B,I agree with B,I agree with B,Disagree,Disagree,NA,Frequently,A moderate amount,A lot,I agree strongly with A,I agree strongly with A,I agree strongly with A,Never,Never,Strongly like,Strongly like,Very frequently,Sometimes,Sometimes,Sometimes,Some,Just a little,Just a little,Some,3,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government A,Government B,Plan B,Plan A,Option 2,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|No|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,"Yes|No|Yes|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission",No|Yes|Yes|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,No|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-coethnic,0,TRUE,FALSE
EN,A few times a week,A few times a week,A few times a week,A few times a week,Never,10,0,1,3,5,6,0,1,Always,Never,Sometimes,Often,Often,Active member,Not a member,Not a member,Inactive member,NA,Not at all,Not at all,NA,4,10,8,NA,1,2,3,Somewhat disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Sometimes,Sometimes,A lot,A lot,Some,Some,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government A,Plan B,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|Yes|No|Yes|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",Yes|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",Yes|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
