user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a month,A few times a week,A few times a week,Every day,Never,Never,Never,Never,Once or Twice,Never,Never,Never,More than twice,Never,Once or Twice,Never,More than twice,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,0,10,4,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree strongly with A,I agree strongly with B,Strongly disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",25,Very interested,9,FL_17,Q34,Q40|Q43|Q45
AMH,Yes,NA,Yes,Urban,Yes,Oromia Region,"Guragie,Oromo",1,3,NA,Never,Never,A few times a week,Every day,Never,Once or Twice,Never,More than 10 times,Never,Never,Never,Never,More than 10 times,More than twice,More than twice,Once or Twice,More than 5 times,Not a member,Prefer not to say,Prefer not to say,Active member,No,No,No,Yes,0,10,5,Strongly disagree,I agree strongly with B,I agree with A,I agree with B,I agree with B,I agree strongly with B,Agree,Somewhat like,Neither like nor dislike,Strongly dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","Yes, I plan to move to another region",Job opportunities,NA,8,Very uninterested,10,FL_18,Q35,Q40|Q42|Q45
AMH,Yes,Male,No,Rural,No,Other,Prefer not to say,1,NA,3,A few times a month,Less than once a month,Every day,Every day,A few times a month,More than 5 times,Never,More than 5 times,Never,More than twice,More than twice,Never,More than twice,Never,Never,More than twice,Never,Active member,Not a member,Not a member,Active member,No,No,No,Yes,8,3,2,Strongly disagree,I agree with B,I agree with B,I agree with A,I agree with A,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other",5.30,Very interested,7,FL_18,Q35,Q40|Q44|Q45
AFAN_OROMO,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,1,2,3,A few times a week,A few times a month,A few times a month,Every day,Never,More than twice,Never,Once or Twice,Never,Once or Twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,Never,Once or Twice,Inactive member,Active member,Prefer not to say,Active member,Yes,No,No,Yes,3,9,9,Neither agree nor disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with A,Disagree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,10,Very interested,5,FL_17,Q36,Q40|Q41|Q45
EN,Yes,NA,Yes,Urban,Yes,Addis Ababa,"Amhara,Tigre",1,2,3,Never,Every day,Never,Every day,Never,Never,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,1,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,10,Very interested,10,FL_17,Q35,Q40|Q42|Q45
EN,Yes,NA,Yes,Urban,Yes,Addis Ababa,Oromo,1,3,2,A few times a week,A few times a week,Every day,Every day,A few times a week,Once or Twice,Once or Twice,Once or Twice,Never,Never,More than twice,More than 5 times,More than 5 times,More than 5 times,More than twice,More than twice,Once or Twice,Official leader,Active member,Inactive member,Inactive member,Yes,Yes,NA,NA,7,4,8,Somewhat agree,I agree with A,I agree with B,I agree with neither,I agree with A,I agree strongly with A,Strongly agree,Somewhat like,Somewhat like,Somewhat dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,15,Very interested,10,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Female,Yes,Urban,Yes,Tigray Region,Tigre,1,3,2,Less than once a month,A few times a week,Less than once a month,A few times a week,Never,More than 5 times,Once or Twice,Once or Twice,Never,Never,More than 5 times,Never,More than twice,Once or Twice,More than twice,More than 5 times,More than twice,Inactive member,Not a member,Not a member,Active member,No,No,No,Yes,4,10,8,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with neither,Neither agree nor disagree,Somewhat like,Neither like nor dislike,Somewhat like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,5,Very interested,5,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Oromia Region,Amhara,1,2,3,Less than once a month,A few times a month,A few times a week,A few times a week,Never,More than twice,Once or Twice,Once or Twice,Never,Never,Once or Twice,Never,Once or Twice,Once or Twice,More than twice,Never,Never,Not a member,Not a member,Not a member,Inactive member,Yes,No,No,Yes,5,8,10,Strongly disagree,I agree with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with B,Neither agree nor disagree,Strongly like,Somewhat like,Strongly like,Civil society (private not-for-profit organizations),"Yes, it has crossed my mind","No, I have not thought about it","Yes, it has crossed my mind","Yes, I plan to move to another region",Other,NA,10,Very interested,7,FL_18,Q34,Q40|Q43|Q45
AMH,Yes,Female,Yes,Rural,Yes,Oromia Region,"Amhara,Guragie,Oromo,Tigre",1,2,3,Never,A few times a week,A few times a week,A few times a week,A few times a week,Once or Twice,Never,Never,Never,Never,Never,More than twice,Never,More than 5 times,More than 5 times,Never,More than 5 times,Prefer not to say,Not a member,Not a member,Official leader,No,No,No,NA,1,1,0,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,3,Very interested,10,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Female,Yes,Urban,No,Addis Ababa,Other,NA,NA,NA,A few times a week,Less than once a month,A few times a week,A few times a month,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,More than twice,More than twice,More than twice,Inactive member,Not a member,Not a member,Inactive member,No,No,No,No,NA,NA,NA,Strongly disagree,I agree with B,I agree with B,I agree with neither,I agree with A,I agree with neither,Neither agree nor disagree,Somewhat like,Somewhat like,Somewhat like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,8,Very interested,NA,FL_17,Q37,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Amhara,Tigre",1,2,3,A few times a week,A few times a week,A few times a week,A few times a week,Never,Once or Twice,More than twice,More than 5 times,More than 5 times,More than twice,More than 5 times,More than 5 times,More than twice,More than 5 times,More than 5 times,Never,More than twice,Prefer not to say,Not a member,Not a member,Inactive member,No,No,No,Yes,1,8,5,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree strongly with B,Strongly disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region",Job opportunities,NA,10,Very interested,7,FL_18,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Guragie,1,2,3,Less than once a month,A few times a week,A few times a week,Every day,A few times a week,More than 5 times,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Inactive member,No,No,Yes,NA,1,7,9,Strongly disagree,I agree with A,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Neither agree nor disagree,Strongly like,Strongly like,Strongly like,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other,15,Somewhat interested,8,FL_17,Q36,Q40|Q42|Q45
EN,Yes,Female,Yes,Urban,Yes,Oromia Region,Oromo,1,3,2,A few times a month,Never,A few times a week,Every day,Less than once a month,Once or Twice,Never,More than 5 times,More than twice,Never,Once or Twice,Never,Never,Never,More than twice,More than 10 times,Never,Not a member,Prefer not to say,Not a member,Inactive member,Yes,No,No,NA,2,7,5,Strongly disagree,I agree strongly with B,I agree with B,I agree strongly with B,I agree strongly with A,I agree with neither,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","No, I have not thought about it","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other educational opportunities",NA,4,Very interested,5,FL_17,Q37,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Oromia Region,"Amhara,Oromo",1,2,3,Never,A few times a month,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,NA,More than 10 times,NA,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,4,8,6,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Somewhat like,Neither like nor dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,7,FL_18,Q34,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,No,Other,"Amhara,Oromo",1,2,3,Every day,Every day,A few times a week,Every day,Never,More than twice,Never,More than twice,More than twice,More than twice,More than twice,More than twice,More than 5 times,Never,Never,Once or Twice,More than 10 times,Not a member,Not a member,Not a member,Active member,No,No,No,NA,2,0,5,Somewhat disagree,I agree with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with neither,Disagree,Strongly like,Neither like nor dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,10,Very interested,5,FL_18,Q37,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Dire Dawa (city),"Amhara,Oromo",1,NA,3,A few times a week,A few times a week,Every day,Every day,Never,Once or Twice,Never,More than twice,Once or Twice,Never,Never,Never,More than twice,More than twice,More than 5 times,More than 10 times,More than 10 times,Active member,Active member,Not a member,Inactive member,NA,NA,No,NA,6,8,4,Somewhat disagree,I agree with B,I agree with neither,I agree with B,I agree strongly with A,I agree with B,Agree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other educational opportunities,Other",NA,NA,Very interested,5,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,1,2,3,Less than once a month,Less than once a month,Never,Every day,Never,Never,Once or Twice,Never,More than twice,Never,Never,Never,More than twice,Once or Twice,More than 10 times,More than 10 times,More than twice,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,2,8,8,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",15,Somewhat uninterested,7,FL_17,Q37,Q40|Q41|Q45
AMH,Yes,Male,Yes,Urban,No,Amhara Region,Amhara,1,NA,3,Never,A few times a month,Less than once a month,A few times a week,A few times a week,Once or Twice,Never,More than twice,Never,More than twice,More than 5 times,Never,More than 5 times,Never,More than twice,Never,Never,Not a member,Not a member,Not a member,Active member,No,No,No,NA,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Strongly agree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region",Job opportunities,NA,15,Very interested,4,FL_18,Q37,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a week,A few times a week,A few times a month,A few times a week,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,2,7,2,Strongly disagree,I agree with neither,I agree with A,I agree with A,I agree strongly with B,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",7,Somewhat interested,6,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,3,2,A few times a month,A few times a month,Less than once a month,A few times a week,Never,Once or Twice,Once or Twice,Never,More than 10 times,Once or Twice,Once or Twice,Never,More than twice,Once or Twice,Once or Twice,More than 5 times,More than twice,Inactive member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,2,7,5,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with B,I agree with A,Agree,Neither like nor dislike,Somewhat dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family,Other",15,Somewhat interested,6,FL_17,Q36,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,3,2,Less than once a month,A few times a month,Every day,Every day,Never,Once or Twice,Never,Never,Never,Once or Twice,Once or Twice,Never,Once or Twice,More than twice,Once or Twice,More than 10 times,More than 5 times,Inactive member,Not a member,Not a member,Inactive member,NA,No,No,NA,2,4,6,Somewhat disagree,I agree with B,I agree with neither,I agree strongly with B,I agree with B,I agree with neither,Disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family,Other",20,Very interested,3,FL_17,Q37,Q40|Q44|Q45
AMH,Yes,Male,Yes,Urban,Yes,Addis Ababa,Other,1,NA,3,Less than once a month,A few times a week,Never,Every day,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,Never,More than 5 times,Once or Twice,Once or Twice,More than 10 times,More than 5 times,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,2,10,10,Neither agree nor disagree,I agree strongly with B,I agree with neither,I agree with B,I agree strongly with A,I agree with B,Neither agree nor disagree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,12,Very interested,8,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,Yes,Urban,Yes,Sidama Region,Sidama,1,2,3,Less than once a month,A few times a month,Never,Every day,Less than once a month,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,More than twice,Never,Never,Never,More than twice,Not a member,Not a member,Not a member,Inactive member,Yes,No,No,NA,1,8,10,Strongly agree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Somewhat dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,10,Very interested,5,FL_17,Q37,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Adere (Harari),Amhara,Oromo",1,NA,3,Never,A few times a week,Never,A few times a week,Never,More than 5 times,Never,Once or Twice,More than twice,More than 10 times,More than 5 times,Never,More than twice,Never,Once or Twice,Never,More than 5 times,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,0,10,Neither agree nor disagree,I agree strongly with B,I agree with neither,I agree with B,I agree with A,I agree with neither,Strongly disagree,Strongly like,Strongly dislike,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,5,Very interested,10,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Sidama Region,Prefer not to say,1,2,3,Never,Less than once a month,Never,A few times a week,Never,Never,Never,Once or Twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,More than 5 times,More than twice,Once or Twice,More than 5 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,4,4,4,Somewhat agree,I agree with B,I agree with neither,I agree with A,I agree with B,I agree strongly with B,Disagree,Somewhat like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,20,Somewhat interested,4,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region",Guragie,1,3,2,Every day,Every day,A few times a week,Every day,A few times a month,Never,Never,Never,More than twice,Never,Once or Twice,Never,More than twice,More than 10 times,More than 10 times,More than 10 times,More than 10 times,Prefer not to say,Prefer not to say,Inactive member,Not a member,No,No,NA,No,1,10,5,Somewhat disagree,I agree with B,I agree strongly with A,I agree with B,I agree with B,I agree with B,Strongly agree,Somewhat like,Somewhat like,Somewhat like,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,15,Very interested,8,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,1,NA,2,A few times a week,A few times a month,A few times a week,A few times a week,Every day,More than 5 times,Never,More than twice,Once or Twice,More than twice,More than twice,More than twice,More than 5 times,More than 5 times,More than 10 times,Never,Never,Active member,Not a member,Not a member,Active member,NA,No,No,NA,9,10,5,Somewhat disagree,I agree with B,I agree strongly with A,I agree with A,I agree strongly with A,I agree with neither,Agree,Strongly like,Somewhat like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other educational opportunities",NA,18,Very interested,9,FL_18,Q34,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Adere (Harari),Amhara",1,2,3,A few times a week,A few times a week,A few times a week,Every day,Less than once a month,Once or Twice,Never,Never,More than twice,Never,Once or Twice,Never,More than 10 times,Never,Once or Twice,More than 10 times,More than 5 times,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,10,8,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree with neither,I agree strongly with B,Neither agree nor disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,15,Very interested,7,FL_17,Q37,Q40|Q42|Q45
EN,Yes,Female,No,Urban,Yes,Other,"Silte,Other",1,2,3,Never,Less than once a month,Less than once a month,Every day,Less than once a month,Once or Twice,Never,Never,More than 5 times,Never,Once or Twice,Never,More than twice,Never,More than twice,Once or Twice,More than twice,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,4,5,5,Strongly disagree,I agree with B,I agree with A,I agree with neither,I agree with A,I agree with B,Disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Proximity to family,10,Very interested,6,FL_18,Q36,Q40|Q42|Q45
