qualtrics_name,description,values
q14_4,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of interest","Never, More than 10 times, More than 5 times, Once or Twice, More than twice"
q14_5,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of information","Never, More than twice, Once or Twice, More than 5 times, More than 10 times"
q15_1,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - A religious group that meets outside of regular worship services","Not a member, Inactive member, Active member, Official leader, Prefer not to say"
q15_2,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - A group of people that share the same ethnicity or culture and meet regularly to discuss or advance the interests of the group.","Not a member, Prefer not to say, Active member, Inactive member, Official leader"
q15_3,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - An organization associated with a political party","Not a member, Prefer not to say, Inactive member, Official leader, Active member"
q15_4,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - Some other voluntary association or community group (NGOs, idirs, etc.)","Active member, Inactive member, Not a member, Official leader, Prefer not to say"
q16_1,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member. - A religious group that meets outside of regular worship services","No, Yes"
q16_2,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member. - A group of people that share the same ethnicity or culture and meet regularly to discuss or advance the interests of the group.","No, Yes"
q16_3,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member. - An organization associated with a political party","No, Yes"
q16_4,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member. - Some other voluntary association or community group (NGOs, idirs, etc.)","Yes, No"
q17_1,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - The youth in this country are given adequate opportunities to engage in social, economic and political affairs.","0, 6, 2, 5, 8, 3, 1, 7, 4, 9, 10"
q17_2,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - The active participation  of the youth in the social and political affairs of Ethiopia can help bring positive changes in the country.","10, 5, 3, 9, 4, 8, 1, 7, 0, 2, 6"
q17_3,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - Your own personal participation in the social and political affairs of Ethiopia can help bring positive changes in the country.","5, 10, 9, 4, 2, 8, 0, 6, 7, 1, 3"
q18,"There are many ways to govern a country. Would you disagree or agree with the following statement: 

Only one political party should be allowed to stand for election and hold office.","Neither agree nor disagree, Strongly disagree, Somewhat agree, Somewhat disagree, Strongly agree"
q19,"Which of the following statements is closest to your view?


Statement A: Whichever party or group wins elections should be able to pursue the policies they prefer, without needing to compromise with others.



Statement B: In a democracy, it is important to make compromises between the preferences and needs of different groups.","I agree with neither, I agree with B, I agree strongly with B, I agree with A, I agree strongly with A"
q20,"Which of the following statements is closest to your view?


Statement A: Communities are stronger when they are made up of people from different ethnic groups, races, or religions.



Statement B: Communities are stronger when they are made up of people who are similar to each other, that is, people from the same ethnic group, race, or religion.","I agree with neither, I agree with A, I agree strongly with A, I agree with B, I agree strongly with B"
q21,"Which of the following statements is closest to your view?


Statement A: When dealing with other people, most people can be trusted.



Statement B: When dealing with other people, you must be very careful.","I agree with B, I agree with neither, I agree strongly with B, I agree with A, I agree strongly with A"
q22,"Ethiopians are very diverse. They come from different religions, ethnic groups, political parties, and economic and social backgrounds. Which of the following statements is closest to your view?


Statement A: Overall, there is more that unites all Ethiopian as one people, than there is that divides them.



Statement B: Overall, there is more that divides Ethiopian into different social and political groups, than there is that unites them as a single group.","I agree strongly with A, I agree with neither, I agree with A, I agree with B, I agree strongly with B"
q23,"Which of the following statements is closest to your view?


Statement A: In Ethiopia, federal states should continue to be defined based on ethnic homelands.


Statement B: In Ethiopia, federal states should change so that they are defined based on geographical features, not ethnic homelands.","I agree with neither, I agree strongly with B, I agree with A, I agree with B, I agree strongly with A"
q24,"""I have been treated unfairly by others because of my ethnicity."" To what extent do you agree or disagree?","Strongly agree, Neither agree nor disagree, Strongly disagree, Agree, Disagree"
q25_1,"For each of the following types of people, please tell me whether you would like having people from this group as neighbours, dislike it, or not care: - People from other ethnic groups","Strongly like, Neither like nor dislike, Somewhat like, Somewhat dislike, Strongly dislike"
q25_2,"For each of the following types of people, please tell me whether you would like having people from this group as neighbours, dislike it, or not care: - People who support a different political party","Neither like nor dislike, Strongly like, Somewhat like, Somewhat dislike, Strongly dislike"
q25_3,"For each of the following types of people, please tell me whether you would like having people from this group as neighbours, dislike it, or not care: - People migrating from a different region of the country","Somewhat like, Neither like nor dislike, Strongly like, Strongly dislike, Somewhat dislike"
q26,"Thinking about the work that you would like to do after you graduate, what field do you think that you will work in?","Public sector or civil service (ex. public university, government ministry), Civil society (private not-for-profit organizations), Business sector (private for-profit companies), I don't know yet, Politics (pursuing elected office or working for a campaign or political party)"
q27_1,"In the last few years, have you ever thought about taking the following actions? - Running for political office","No, I have not thought about it, Yes, it has crossed my mind"
q27_2,"In the last few years, have you ever thought about taking the following actions? - Starting a business","Yes, it has crossed my mind, No, I have not thought about it"
q27_3,"In the last few years, have you ever thought about taking the following actions? - Starting a non-governmental organization","No, I have not thought about it, Yes, it has crossed my mind"
q28,"Thinking now about once you have completed your education at AAU, do you have any plans to move to another place outside of Addis Ababa?","I don't know my plans yet, No, I plan to stay in Addis, Yes, I plan to move to another region, Yes, I plan to move back to my home region"
q29,"What are the main reasons you plan to move there?

Please select all that apply. - Selected Choice","Job opportunities, Other, Job opportunities,Other educational opportunities, Job opportunities,Other educational opportunities,Other, Job opportunities,Other, Other educational opportunities, Proximity to family, Job opportunities,Other educational opportunities,Proximity to family, Other educational opportunities,Proximity to family, Proximity to family,Other, Other educational opportunities,Other, Job opportunities,Other educational opportunities,Proximity to family,Other, Job opportunities,Proximity to family,Other, Job opportunities,Proximity to family"
q30,"What are the main reasons you plan to stay in Addis?

Please select all that apply. - Selected Choice","Job opportunities, Job opportunities,Other educational opportunities,Other, Job opportunities,Other educational opportunities,Proximity to family, Job opportunities,Other, Other educational opportunities, Other, Job opportunities,Other educational opportunities, Job opportunities,Other educational opportunities,Proximity to family,Other, Proximity to family, Job opportunities,Proximity to family, Other educational opportunities,Proximity to family, Job opportunities,Proximity to family,Other, Proximity to family,Other, Other educational opportunities,Other"
q31,"We are now interested in learning about social life at AAU.


Thinking about the average week, how many friends or family members do you talk with on the phone, online, or in person?","4, 1, 3, 50, 10, 40, 5, 15, 25, 8, 5.30, 7, 20, 12, 18, 100, 6, 2, 13, 0, 21, 9, 30, 16, 250, 70, 17, 110, 11, 400, 35, 943804526, 930005969, 87, 45, 60, 124, 56, 33, 28, 21.5, 19, 22, 27, 1000, 985980440, 939376535"
q38,How interested are you in participating in this one-day event?,"Very interested, Very uninterested, Somewhat interested, Somewhat uninterested"
q45_1,"Under the new system, how do you think that power should be divided between the states and the central government? On a scale from 0 to 10, how much power do you think should go to the federal government? - How much power should go to the federal government?","1, 5, 7, 6, 4, 10, 9, 8, 3, 2, 0"
fl_15_do,FL_15 - Block Randomizer - Display Order,"FL_18, FL_17"
tolerant_engagement_forums_invitation_do,Tolerant Engagement Forums Invitation - Display Order,"Q34, Q35, Q37, Q36"
federalism_do,Federalism - Display Order,"Q40|Q44|Q45, Q40|Q41|Q45, Q40|Q43|Q45, Q40|Q42|Q45"
